Département,NomDept,met,xmet,smet
1,AIN,12560.76,4607.53,3909.94
10,AUBE,6673.71,2151.85,2358.34
11,AUDE,9516.92,2530.32,4417.09
12,AVEYRON,7963.48,2803.29,3920.4900000000002
13,BOUCHES-DU-RHÔNE,42586.47,13223.27,11234.34
14,CALVADOS,13441.47,3954.23,4617.75
15,CANTAL,3088.92,1216.31,1342.6000000000001
16,CHARENTE,7011.07,2057.05,2267.98
17,CHARENTE-MARITIME,18081.72,5582.52,7884.7300000000005
18,CHER,4751.49,1615.19,1645.82
19,CORRÈZE,5389.08,1780.71,2099.71
2,AISNE,9152.53,2506.8,3427.66
21,CÔTE-D'OR,9896.77,3151.07,2786.16
22,CÔTES-D'ARMOR,15113.01,5197.93,6320.52
23,CREUSE,1382.14,524.62,426.91
24,DORDOGNE,9679.48,3466.87,4047.96
25,DOUBS,11406.81,3457.54,2935.4900000000002
26,DRÔME,17701.28,5883.62,6305.79
27,EURE,7309.88,3005.32,2099.12
28,EURE-ET-LOIR,8333.68,2652.47,2424.76
29,FINISTÈRE,25814.51,7806.41,11365.85
2A,CORSE-DU-SUD,6340.04,2018.03,3529.69
2B,HAUTE-CORSE,7632.55,2298.57,4179.02
3,ALLIER,6852.72,1982.09,2363.77
30,GARD,14557.68,4121.24,5617.1
31,HAUTE-GARONNE,19676.73,6782.87,5050.39
32,GERS,5814.48,1647.86,2683.17
33,GIRONDE,27861.829999999998,8841.960000000001,8768.66
34,HÉRAULT,23578.17,6723.96,8193.06
35,ILLE-ET-VILAINE,21367.3,7264.35,6947.84
36,INDRE,4061.21,1439.53,1285.09
37,INDRE-ET-LOIRE,12515.75,4148.96,3808.54
38,ISÈRE,24280.82,7867.16,7132.58
39,JURA,6479.43,2088.4,2511.4
4,ALPES-DE-HAUTE-PROVENCE,4909.97,1506.1000000000001,2028.99
40,LANDES,11290.56,3367.9700000000003,4547.24
41,LOIR-ET-CHER,6681.19,2389.97,2369.82
42,LOIRE,13993.94,4783.68,3808.5
43,HAUTE-LOIRE,4930.28,1477.48,1739.96
44,LOIRE-ATLANTIQUE,29191.02,8663.73,9309.61
45,LOIRET,11485.51,4072.6,3564.05
46,LOT,4606.43,1753.38,2377.27
47,LOT-ET-GARONNE,8580.75,2868.97,3535.47
48,LOZÈRE,2523.19,925.25,1241.2
49,MAINE-ET-LOIRE,16387.89,5550.16,5029.5
5,HAUTES-ALPES,6597.19,1981.16,2923.01
50,MANCHE,8871.69,2702.14,3259.27
51,MARNE,12112.66,3902.77,4236.95
52,HAUTE-MARNE,3546.47,1119.43,1458.61
53,MAYENNE,5798.65,1856.99,1681.38
54,MEURTHE-ET-MOSELLE,12662.09,3790.81,3821.9700000000003
55,MEUSE,3685.0299999999997,1175.58,1232.94
56,MORBIHAN,17926.06,5556.88,7618.66
57,MOSELLE,16129.78,5221.04,4286.33
58,NIÈVRE,3732.85,1026.47,1431.31
59,NORD,40100.18,11421.16,9187.59
6,ALPES-MARITIMES,26136.309999999998,8301.64,7995.56
60,OISE,13904.17,4122.51,4242.14
61,ORNE,4620.29,1513.95,1576.08
62,PAS-DE-CALAIS,24047.3,6490.81,7288.24
63,PUY-DE-DÔME,14380.35,4596.6,4466.64
64,PYRÉNÉES-ATLANTIQUES,14894.9,4380.14,4856.96
65,HAUTES-PYRÉNÉES,6514.69,2045.01,3325.2400000000002
66,PYRÉNÉES-ORIENTALES,12735.369999999999,3546.11,5579.9400000000005
67,BAS-RHIN,20765.11,6905.45,6379.78
68,HAUT-RHIN,13376.82,4030.33,4032.07
69,RHÔNE,43789.4,14219.52,9592.89
7,ARDÈCHE,6297.37,1899.24,2916.89
70,HAUTE-SAÔNE,3621.33,945.98,1209.02
71,SAÔNE-ET-LOIRE,10364.23,3854.48,3389.95
72,SARTHE,10269.91,3259.67,2843.48
73,SAVOIE,15989.75,4703.76,6910.58
74,HAUTE-SAVOIE,20000.12,7918.53,6778.87
75,PARIS,39520.95,12831.45,7824.49
76,SEINE-MARITIME,17060.13,5009.92,4750.19
77,SEINE-ET-MARNE,16619.59,6235.33,3509.58
78,YVELINES,20165.91,6690.59,4109.85
79,DEUX-SÈVRES,8584.13,2565.14,3302.41
8,ARDENNES,4298.09,1274.8,1556.06
80,SOMME,10741.85,2704.61,3578.9
81,TARN,7753.24,2161.31,2844.68
82,TARN-ET-GARONNE,6124.42,1939.25,2198.5
83,VAR,21355.23,7063.01,7889.58
84,VAUCLUSE,18194.12,5322.01,7006.1
85,VENDÉE,19385.47,5980.94,7892.89
86,VIENNE,8223.09,2239.37,3208.28
87,HAUTE-VIENNE,6079.0,1830.81,1905.1200000000001
88,VOSGES,7741.79,1831.98,2235.26
89,YONNE,5933.42,1759.63,2367.7400000000002
9,ARIÈGE,4461.91,1405.47,2209.14
90,TERRITOIRE DE BELFORT,2834.15,821.67,897.89
91,ESSONNE,17770.18,5702.81,2780.91
92,HAUTS-DE-SEINE,32292.66,9704.68,4401.2
93,SEINE-SAINT-DENIS,23033.31,6976.5,3641.43
94,VAL-DE-MARNE,17846.01,6019.14,3214.7200000000003
95,VAL-D'OISE,15972.8,5330.76,3206.4500000000003
971,GUADELOUPE,11520.2,4172.67,4342.39
972,GUYANE,9183.539999999999,2418.71,2934.08
973,MARTINIQUE,4892.63,1505.21,640.42
974,RÉUNION,20713.0,5629.39,5282.39
976,MAYOTTE,3382.62,937.83,383.59000000000003
