Dept,NomDept,met,xmet,smet
01,AIN,12860.0,7431.0,8673.0
02,AISNE,10410.0,5940.0,8185.0
03,ALLIER,6946.0,3560.0,4968.0
04,ALPES-DE-HAUTE-PROVENCE,5574.0,2162.0,3050.0
05,HAUTES-ALPES,6734.0,2332.0,3392.0
06,ALPES-MARITIMES,27614.0,10975.0,11950.0
07,ARDÈCHE,7026.0,3200.0,5085.0
08,ARDENNES,4677.0,3053.0,4363.0
09,ARIÈGE,4723.0,2807.0,4016.0
10,AUBE,7826.0,3444.0,5155.0
11,AUDE,10123.0,4549.0,6723.0
12,AVEYRON,7838.0,4056.0,5434.0
13,BOUCHES-DU-RHÔNE,45236.0,18301.0,17004.0
14,CALVADOS,15325.0,7360.0,9161.0
15,CANTAL,3900.0,2590.0,3125.0
16,CHARENTE,7306.0,3986.0,4911.0
17,CHARENTE-MARITIME,19464.0,9060.0,12803.0
18,CHER,5663.0,3394.0,4432.0
19,CORRÈZE,6090.0,3265.0,4529.0
21,CÔTE-D'OR,11888.0,5771.0,6026.0
22,CÔTES-D'ARMOR,16433.0,8361.0,11210.0
23,CREUSE,1885.0,1343.0,1848.0
24,DORDOGNE,9672.0,4598.0,6250.0
25,DOUBS,11617.0,5823.0,6421.0
26,DRÔME,17760.0,7773.0,10026.0
27,EURE,9379.0,5778.0,7889.0
28,EURE-ET-LOIR,8447.0,4713.0,5259.0
29,FINISTÈRE,26081.0,12460.0,16732.0
2A,CORSE-DU-SUD,8001.0,3631.0,4707.0
2B,HAUTE-CORSE,7582.0,3779.0,5248.0
30,GARD,17435.0,8184.0,10971.0
31,HAUTE-GARONNE,20767.0,8882.0,7468.0
32,GERS,5989.0,2805.0,4569.0
33,GIRONDE,28885.0,13053.0,12765.0
34,HÉRAULT,27487.0,11107.0,13646.0
35,ILLE-ET-VILAINE,24371.0,11277.0,12249.0
36,INDRE,3488.0,2530.0,2962.0
37,INDRE-ET-LOIRE,12980.0,6158.0,7545.0
38,ISÈRE,25654.0,11185.0,11154.0
39,JURA,7031.0,3914.0,5230.0
40,LANDES,10801.0,4235.0,6104.0
41,LOIR-ET-CHER,7350.0,4154.0,5263.0
42,LOIRE,15054.0,7175.0,7812.0
43,HAUTE-LOIRE,5372.0,2937.0,4057.0
44,LOIRE-ATLANTIQUE,31495.0,14470.0,15317.0
45,LOIRET,12958.0,6697.0,7002.0
46,LOT,5303.0,3105.0,4266.0
47,LOT-ET-GARONNE,9819.0,4778.0,6199.0
48,LOZÈRE,2668.0,1339.0,1853.0
49,MAINE-ET-LOIRE,18883.0,9038.0,10189.0
50,MANCHE,11209.0,5796.0,7091.0
51,MARNE,13034.0,6399.0,8117.0
52,HAUTE-MARNE,3331.0,2364.0,3227.0
53,MAYENNE,6825.0,3608.0,4742.0
54,MEURTHE-ET-MOSELLE,13759.0,7014.0,8156.0
55,MEUSE,3437.0,2087.0,2738.0
56,MORBIHAN,19497.0,8413.0,11631.0
57,MOSELLE,17659.0,7881.0,7670.0
58,NIÈVRE,4775.0,2691.0,3843.0
59,NORD,43963.0,18630.0,17794.0
60,OISE,14713.0,7129.0,7971.0
61,ORNE,6221.0,3585.0,4896.0
62,PAS-DE-CALAIS,26401.0,11045.0,13907.0
63,PUY-DE-DÔME,14194.0,6503.0,8263.0
64,PYRÉNÉES-ATLANTIQUES,14371.0,5744.0,6562.0
65,HAUTES-PYRÉNÉES,6623.0,3110.0,4561.0
66,PYRÉNÉES-ORIENTALES,11883.0,4436.0,6801.0
67,BAS-RHIN,22539.0,10920.0,11119.0
68,HAUT-RHIN,14443.0,7534.0,8729.0
69,RHÔNE,47538.0,21241.0,20168.0
70,HAUTE-SAÔNE,3912.0,2805.0,3975.0
71,SAÔNE-ET-LOIRE,10742.0,6760.0,8642.0
72,SARTHE,11767.0,5652.0,6910.0
73,SAVOIE,16882.0,6948.0,9241.0
74,HAUTE-SAVOIE,21645.0,10435.0,11316.0
75,PARIS,23443.0,8528.0,5918.0
76,SEINE-MARITIME,22073.0,10803.0,13693.0
77,SEINE-ET-MARNE,17929.0,9213.0,9214.0
78,YVELINES,26601.0,11019.0,8067.0
79,DEUX-SÈVRES,9606.0,4883.0,6795.0
80,SOMME,11413.0,5245.0,6085.0
81,TARN,7642.0,3621.0,5206.0
82,TARN-ET-GARONNE,5663.0,2803.0,3555.0
83,VAR,22565.0,9448.0,10353.0
84,VAUCLUSE,19590.0,8218.0,10155.0
85,VENDÉE,19837.0,9487.0,12065.0
86,VIENNE,8803.0,4641.0,6000.0
87,HAUTE-VIENNE,6345.0,3512.0,4760.0
88,VOSGES,8179.0,4482.0,6440.0
89,YONNE,7678.0,4383.0,5638.0
90,TERRITOIRE DE BELFORT,2884.0,1372.0,1772.0
91,ESSONNE,12497.0,5232.0,4431.0
92,HAUTS-DE-SEINE,38860.0,14572.0,10818.0
93,SEINE-SAINT-DENIS,30837.0,12080.0,9308.0
94,VAL-DE-MARNE,22208.0,9375.0,6877.0
95,VAL-D'OISE,11931.0,5157.0,4366.0
971,GUADELOUPE,11792.0,7052.0,9602.0
972,GUYANE,9236.0,4469.0,5768.0
973,MARTINIQUE,5614.0,2787.0,3470.0
974,RÉUNION,21661.0,7368.0,8669.0
976,MAYOTTE,3805.0,1321.0,1696.0
