DeptCode,DeptName,Projets de recrutement totaux_2015,Projets de recrutement saisonniers_2015,Projets de recrutement totaux_2017,Projets de recrutement saisonniers_2017,Projets de recrutement totaux_2016,Projets de recrutement saisonniers_2016
1,AIN,10968,3394,12860,4139.25,3382.62,383.59
2,AISNE,8858.171,2872.075,10410,3667.5,12560.76,3909.94
3,ALLIER,6624,2808,6946,2843,9152.53,3427.66
4,ALPES-DE-HAUTE-PROVENCE,5060,1967,5574,3412.5,6852.72,2363.77
5,HAUTES-ALPES,5809.041,2612,6734,4279.25,4909.97,2028.99
6,ALPES-MARITIMES,23995.322,7154.014,27614,12256.25,6597.19,2923.01
7,ARDÈCHE,5925,2881,7026,4355.25,26136.31,7995.56
8,ARDENNES,4433,1569,4677,1585.75,6297.37,2916.89
9,ARIÈGE,3958,2015,4723,2184.5,4298.09,1556.06
10,AUBE,6548.894,2754.858,7826,4082.25,4461.91,2209.14
11,AUDE,8635,3897,10123,6337.25,9516.92,4417.09
12,AVEYRON,7212,3106,7838,3784.75,7963.48,3920.49
13,BOUCHES-DU-RHÔNE,38825.226,10892.509,45236,17401.75,42586.47,11234.34
14,CALVADOS,13829.377,4100,15325,7851.5,13441.47,4617.75
15,CANTAL,3218,1907,3900,1804,3088.92,1342.6
16,CHARENTE,6695,2401,7306,2766,7011.07,2267.98
17,CHARENTE-MARITIME,17977,7672,19464,11949.5,18081.72,7884.73
18,CHER,4883,1528,5663,2103.5,4751.49,1645.82
19,CORRÈZE,4971.495,1769.49,6090,2552,5389.08,2099.71
21,CÔTE-D'OR,9989.283,2626.273,11888,3851.5,9896.77,2786.16
22,CÔTES-D'ARMOR,14397.398,5852,16433,8431.5,15113.01,6320.52
23,CREUSE,1416,593,1885,587,1382.14,426.91
24,DORDOGNE,9593,4216,9672,4840.5,9679.48,4047.96
25,DOUBS,10708,3230,11617,2920,11406.81,2935.49
26,DRÔME,15981.87,5774.818,17760,8531,17701.28,6305.79
27,EURE,7299,1943,9379,4373.75,7309.88,2099.12
28,EURE-ET-LOIR,7595,2048,8447,2228.5,8333.68,2424.76
29,FINISTÈRE,22234.069,9321,26081,13393.25,25814.51,11365.85
2A,CORSE-DU-SUD,6729,3336,8001,5018.5,6340.04,3529.69
2B,HAUTE-CORSE,7040,3689,7582,5199,7632.55,4179.02
30,GARD,14594.159,5878.143,17435,8604.5,14557.68,5617.1
31,HAUTE-GARONNE,17762.53,4476,20767,6568.75,19676.73,5050.39
32,GERS,5154.498,2355.394,5989,3495.25,5814.48,2683.17
33,GIRONDE,26128.638,9018.518,28885,11739.25,27861.83,8768.66
34,HÉRAULT,21885.092,7434.555,27487,14133,23578.17,8193.06
35,ILLE-ET-VILAINE,19338.177,5649,24371,9771,21367.3,6947.84
36,INDRE,3674,1320,3488,1064,4061.21,1285.09
