Libellé du département,% Abs/Ins,% Vot/Ins,% Blancs/Ins,% Blancs/Vot,% Nuls/Ins,% Nuls/Vot,% Exp/Ins,% Exp/Vot,% Voix/Ins,% Voix/Exp,% Voix/Ins.1,% Voix/Exp.1,% Voix/Ins.2,% Voix/Exp.2,% Voix/Ins.3,% Voix/Exp.3,% Voix/Ins.4,% Voix/Exp.4,% Voix/Ins.5,% Voix/Exp.5,% Voix/Ins.6,% Voix/Exp.6,% Voix/Ins.7,% Voix/Exp.7,% Voix/Ins.8,% Voix/Exp.8,% Voix/Ins.9,% Voix/Exp.9,% Voix/Ins.10,% Voix/Exp.10,% Voix/Ins.11,% Voix/Exp.11
Ain,22.43,77.57000000000001,1.282,1.6460000000000001,0.43599999999999994,0.562,75.856,97.78999999999999,0.382,0.502,1.3539999999999999,1.786,20.919999999999998,27.565999999999995,2.5100000000000002,3.316,19.68,25.898000000000003,6.26,8.251999999999999,13.296000000000001,17.580000000000002,1.2879999999999998,1.7,3.6100000000000003,4.764,3.9979999999999998,5.268,0.49800000000000005,0.658,2.054,2.716
Aisne,27.036,72.964,1.0100000000000002,1.384,0.748,1.032,71.20599999999999,97.586,0.546,0.764,1.5939999999999999,2.2399999999999998,15.718,22.078,1.736,2.43,28.058,39.378,4.882,6.862,10.959999999999999,15.412,0.8039999999999999,1.1280000000000001,1.8800000000000001,2.636,2.9219999999999997,4.101999999999999,0.5660000000000001,0.7939999999999999,1.548,2.168
Allier,23.41,76.58999999999999,1.4966666666666668,1.96,0.7166666666666668,0.9366666666666666,74.37,97.10333333333334,0.54,0.7266666666666667,3.223333333333333,4.333333333333333,19.886666666666667,26.73,3.1133333333333333,4.1866666666666665,20.116666666666664,27.05,4.956666666666667,6.66,12.410000000000002,16.69666666666667,1.3099999999999998,1.76,2.396666666666667,3.22,4.126666666666666,5.546666666666667,0.6033333333333334,0.81,1.6900000000000002,2.27
Alpes-Maritimes,26.75888888888889,73.24111111111112,0.9711111111111111,1.3233333333333333,0.5188888888888888,0.708888888888889,71.75111111111111,97.9688888888889,0.2088888888888889,0.29333333333333333,1.1366666666666667,1.5833333333333333,17.924444444444443,24.96777777777778,1.6344444444444446,2.2744444444444443,19.162222222222223,26.66,10.068888888888889,14.043333333333333,11.834444444444445,16.554444444444446,0.6911111111111111,0.9633333333333334,2.9866666666666664,4.157777777777778,4.011111111111111,5.591111111111111,0.38222222222222224,0.5333333333333333,1.71,2.3755555555555556
Alpes-de-Haute-Provence,22.85,77.15,1.155,1.495,0.49,0.635,75.50999999999999,97.87,0.4,0.525,2.13,2.8200000000000003,16.22,21.490000000000002,3.37,4.46,20.35,26.939999999999998,6.199999999999999,8.205,17.045,22.58,1.0899999999999999,1.445,3.08,4.085,2.99,3.96,0.675,0.8999999999999999,1.955,2.59
Ardennes,26.583333333333332,73.41666666666667,1.01,1.3800000000000001,0.5299999999999999,0.7266666666666667,71.87333333333333,97.89666666666666,0.58,0.8099999999999999,1.61,2.2466666666666666,16.936666666666664,23.526666666666667,2.1966666666666668,3.0566666666666666,25.94333333333333,36.096666666666664,4.696666666666666,6.533333333333334,11.976666666666667,16.72,0.9366666666666666,1.3,1.8266666666666669,2.54,2.97,4.123333333333334,0.5966666666666667,0.8333333333333334,1.5899999999999999,2.2066666666666666
Ardèche,21.213333333333335,78.78666666666668,1.2866666666666666,1.6333333333333335,0.5733333333333334,0.7233333333333333,76.93,97.64,0.47333333333333333,0.6166666666666667,2.2600000000000002,2.94,17.543333333333333,22.78333333333333,3.5533333333333332,4.62,19.356666666666666,25.17,5.5566666666666675,7.226666666666667,16.896666666666665,21.98,1.64,2.13,3.3200000000000003,4.316666666666666,3.6999999999999997,4.803333333333334,0.7133333333333334,0.93,1.9166666666666667,2.493333333333333
Ariège,21.015,78.985,1.2850000000000001,1.63,0.645,0.825,77.05000000000001,97.545,0.35,0.45499999999999996,2.275,2.95,15.18,19.695,6.32,8.205,18.42,23.91,4.88,6.335,20.119999999999997,26.115000000000002,2.705,3.505,2.54,3.3,2.285,2.965,0.6100000000000001,0.7949999999999999,1.3599999999999999,1.7650000000000001
Aube,25.51,74.49000000000001,1.14,1.53,0.5633333333333334,0.7600000000000001,72.78333333333333,97.71,0.48666666666666664,0.6699999999999999,1.5033333333333332,2.066666666666667,18.613333333333333,25.563333333333333,1.8433333333333335,2.5333333333333337,24.02333333333333,32.973333333333336,5.513333333333333,7.576666666666667,10.94,15.073333333333332,0.8333333333333334,1.1533333333333333,2.233333333333333,3.0700000000000003,4.34,5.96,0.52,0.7133333333333334,1.93,2.65
Aude,22.486666666666665,77.51333333333334,1.06,1.3666666666666665,0.5633333333333334,0.7233333333333333,75.89666666666666,97.91333333333334,0.36333333333333334,0.48,2.0033333333333334,2.643333333333333,15.396666666666667,20.296666666666667,4.443333333333333,5.833333333333333,22.836666666666662,30.126666666666665,6.583333333333333,8.683333333333334,15.036666666666667,19.790000000000003,2.2066666666666666,2.8966666666666665,2.26,2.98,2.63,3.4633333333333334,0.6266666666666666,0.82,1.5033333333333332,1.9833333333333334
