Département,Votants,Blancs,Exprimés,ARTHAUD,ROUSSEL,MACRON,LASSALLE,LE PEN,ZEMMOUR,MÉLENCHON,HIDALGO,JADOT,PÉCRESSE,POUTOU,DUPONT-AIGNAN,Abstention_rate,ARTHAUD_percent,ROUSSEL_percent,MACRON_percent,LASSALLE_percent,LE PEN_percent,ZEMMOUR_percent,MÉLENCHON_percent,HIDALGO_percent,JADOT_percent,PÉCRESSE_percent,POUTOU_percent,DUPONT-AIGNAN_percent
Ain,340568,5641,333024,1658,5938,92206,10876,86755,27530,57832,5644,15843,17572,2172,8998,22.26409409530505,0.37844463364139974,1.3553704671668465,21.046360608889568,2.48248723491186,19.802149693341157,6.283824345083073,13.200367944963467,1.2882638795368277,3.6162233599401064,4.010874006240456,0.4957670351442221,2.053826787397657
Aisne,272455,3767,265860,2038,5968,58721,6468,104342,18266,41172,2983,7074,10920,2118,5790,27.06213993532221,0.545584991326323,1.597669886278457,15.71996873192984,1.7315229263487033,27.932987814019235,4.88991925984623,11.021994731544343,0.798567237059088,1.8937528109138415,2.9233503951341744,0.5670014777375624,1.5500182040134496
Allier,191494,3749,185955,1359,8119,49706,7782,50315,12361,31013,3280,5982,10319,1503,4216,23.399642387125937,0.543619570304531,3.2477169178090413,19.883115792168518,3.112912064834334,20.126724562084235,4.9445780048081724,12.405646603277717,1.3120472337004132,2.3928861439011806,4.127748598949562,0.6012216439791832,1.686460712585653
Alpes-Maritimes,570332,7550,558775,1627,8858,139707,12767,148919,78208,92345,5414,23374,31260,2989,13307,26.747343247082515,0.20896963967828694,1.1377093228458917,17.943774708380104,1.639775900290528,19.126951303780462,10.044927830337716,11.860664644186484,0.6953667051126278,3.0021243748250024,4.014991356080669,0.38390304425224314,1.7091327567295416
Alpes-de-Haute-Provence,98785,1478,96683,505,2721,20800,4309,26010,7926,21856,1396,3957,3834,865,2504,22.869412453640443,0.3943002147179387,2.1245364044505175,16.240484091352723,3.364434901424947,20.308413039234825,6.188561389810658,17.06500097599063,1.0899863361311732,3.0895959398789774,2.9935584618387665,0.6753855162990435,1.9551044309974626
Ardennes,136829,1909,133936,1081,3009,31656,4084,48242,8771,22281,1741,3446,5556,1112,2957,26.51385360666391,0.580567893145432,1.6160303334640191,17.001348034608508,2.1933758331229827,25.909117762369966,4.710602211636063,11.966358212001268,0.9350311766569817,1.8507279923951514,2.9839363684699536,0.5972169261588532,1.5881029232479578
Ardèche,201745,3311,196975,1219,5710,45353,9033,49594,14199,42837,4189,8544,9553,1817,4927,21.149930235012253,0.4764342860716254,2.2316979273740616,17.72577865152291,3.530460136246917,19.383332225952575,5.5495409581058315,16.742424538515355,1.6372298805201302,3.3393392454437794,3.7336970753422785,0.7101567660312906,1.9256699979285468
Ariège,94011,1532,91704,417,2701,18071,7532,21958,5821,23908,3208,3020,2724,723,1621,21.025042213056224,0.35030536210821667,2.269004275909576,15.18073908550979,6.327338099278387,18.446055494417795,4.889994035568175,20.08417409420442,2.6949151118540984,2.5369836776182595,2.288325674778854,0.6073639731516562,1.361738589873907
Aube,153167,2339,149670,1005,3094,38321,3787,49316,11374,22483,1720,4619,8923,1062,3966,25.484672903561645,0.48892975465942756,1.505222548175392,18.643061819207883,1.8423651551196538,23.992099284362517,5.533419929847094,10.937918083589961,0.836775301506682,2.2471308823600955,4.341015125200072,0.5166600989535444,1.929448166148547
Aude,216955,2962,212426,1026,5622,43104,12382,64027,18434,42039,6166,6322,7350,1748,4206,22.49586499337327,0.3665241295051924,2.0083807564114933,15.398300271142118,4.423296073619194,22.87274896669489,6.585288307308692,15.017843937883804,2.202717136967852,2.2584459519803377,2.6256845534728694,0.6244485169347722,1.502534589375087
Aveyron,175635,3079,170902,894,4515,47430,14825,34357,10112,32734,4470,6746,9988,1354,3477,19.972387774071844,0.4073486795341462,2.0572475258352014,21.611351085351853,6.754971111961653,15.654674029926916,4.607505422202781,14.915158474128345,2.036743397670731,3.0737966355003916,4.551005157927351,0.6169464341042885,1.58428563617475
Bas-Rhin,588488,8335,576719,3687,7015,177069,14652,145883,40458,105055,8348,28573,24812,4158,17009,24.42802987497303,0.4734741470530825,0.9008465260584144,22.738701856398773,1.8815685388179455,18.733883643760464,5.195502316645949,13.49086697007366,1.072026628586692,3.6692641181848997,3.1862870997236463,0.5339586393942819,2.1842478348863255
Bouches-du-Rhône,1027368,13341,1008620,3578,24295,229038,24256,264753,108617,237971,11760,42109,36229,5963,20051,27.198154174083605,0.25354595857095885,1.7216039864397557,16.230201022687332,1.7188403496638285,18.761054547103708,7.696870145920022,16.86321556933752,0.8333427816641912,2.9839482307055634,2.5672768398734678,0.42255297679112014,1.4208636152337328
Calvados,394349,5547,386231,2757,8777,120366,9816,91774,22255,73950,6848,19621,18383,3764,7920,23.000968470051625,0.5383209540992057,1.7137624280481423,23.502190772979688,1.9166334731366714,17.919429539898623,4.345423588493951,14.439185547927552,1.3371134906316144,3.8311191296265923,3.589392128837758,0.7349438053062787,1.546427985660395
Cantal,90726,1803,88102,555,2496,25038,6848,21570,4906,12944,1810,2751,6987,650,1547,21.61562054516394,0.47950235431336125,2.1564646421011706,21.63203594107737,5.9164542744827,18.635794202773337,4.238628018488919,11.183204458075943,1.5637824528057367,2.376776534623526,6.036545855112531,0.5615793338805133,1.3365588146356215
