Département,Votants,Blancs,Exprimés,ROUSSEL,MACRON,LASSALLE,LE PEN,ZEMMOUR,MÉLENCHON,HIDALGO,JADOT,PÉCRESSE,POUTOU,DUPONT-AIGNAN,ROUSSEL_percent,MACRON_percent,LASSALLE_percent,LE PEN_percent,ZEMMOUR_percent,MÉLENCHON_percent,HIDALGO_percent,JADOT_percent,PÉCRESSE_percent,POUTOU_percent,DUPONT-AIGNAN_percent
Ain,340568,5641,333024,5938,92206,10876,86755,27530,57832,5644,15843,17572,2172,8998,1.7435578210518898,27.074181954851895,3.1934885250522655,25.47362053980409,8.08355453242818,16.981043433323155,1.6572314486387445,4.651934415447136,5.159615700829203,0.6377580982358882,2.6420567992295223
Aisne,272455,3767,265860,5968,58721,6468,104342,18266,41172,2983,7074,10920,2118,5790,2.1904534693802646,21.552549962379107,2.3739700133967077,38.29696647152741,6.704226386008699,15.11148630048999,1.0948597016020996,2.596392064744637,4.008001321319117,0.7773760804536529,2.125121579710411
Allier,191494,3749,185955,8119,49706,7782,50315,12361,31013,3280,5982,10319,1503,4216,4.239819524371521,25.95694904278985,4.063834898221354,26.274974672835704,6.455032533656407,16.19528549197364,1.7128473999185354,3.1238576665587434,5.388680585292489,0.7848809884382801,2.2016355603830933
Alpes-Maritimes,570332,7550,558775,8858,139707,12767,148919,78208,92345,5414,23374,31260,2989,13307,1.55313045734765,24.495732310303474,2.2385207212641056,26.110931878274407,13.712714699508357,16.191446385613993,0.9492716523007652,4.098314665843754,5.481018073683399,0.5240807108841868,2.33320241543522
Alpes-de-Haute-Provence,98785,1478,96683,2721,20800,4309,26010,7926,21856,1396,3957,3834,865,2504,2.754466771270942,21.055828314015283,4.361998279090955,26.329908386900847,8.023485346965632,22.12481652072683,1.4131700156906413,4.005668876853774,3.8811560459583943,0.8756390140203472,2.5347977931872245
Ardennes,136829,1909,133936,3009,31656,4084,48242,8771,22281,1741,3446,5556,1112,2957,2.199095221042323,23.135446433139172,2.984747385422681,35.25714578049975,6.410190822121041,16.28382872051977,1.2723910866848402,2.518471961353222,4.060542721206762,0.8126932156194958,2.161091581462994
Ardèche,201745,3311,196975,5710,45353,9033,49594,14199,42837,4189,8544,9553,1817,4927,2.8303055837815063,22.480358868869114,4.477434384990954,24.58251753451139,7.038092641701158,21.233239981164342,2.0763835534957495,4.235049195766933,4.73518550645617,0.9006418994274951,2.4421918758829215
Ariège,94011,1532,91704,2701,18071,7532,21958,5821,23908,3208,3020,2724,723,1621,2.8730680452287496,19.222218676537853,8.011828403059216,23.356841220708215,6.191828615800278,25.43106657731542,3.412366637946623,3.212390039463467,2.8975332673836043,0.7690589399112869,1.7242663092616821
Aube,153167,2339,149670,3094,38321,3787,49316,11374,22483,1720,4619,8923,1062,3966,2.0200173666651433,25.01909680283612,2.4724646953978335,32.197536022772525,7.425881554120665,14.678749338956825,1.1229572949786835,3.01566264273636,5.825667408776042,0.6933608414345127,2.589330599933406
Aude,216955,2962,212426,5622,43104,12382,64027,18434,42039,6166,6322,7350,1748,4206,2.59132078080708,19.867714503007537,5.707174298817727,29.51164988131179,8.496692862575188,19.376829296397872,2.842064022493144,2.913968334447236,3.387799313221636,0.8056970339471319,1.9386508723007074
Aveyron,175635,3079,170902,4515,47430,14825,34357,10112,32734,4470,6746,9988,1354,3477,2.570672132547613,27.00486805021778,8.440800523813591,19.561590799100408,5.75739459674894,18.637515301619835,2.5450508156119227,3.8409200899592904,5.686793634526148,0.7709169584649985,1.9796737552310189
Bas-Rhin,588488,8335,576719,7015,177069,14652,145883,40458,105055,8348,28573,24812,4158,17009,1.1920379005179373,30.088803849866096,2.4897703946384633,24.78946044779163,6.874906540150351,17.85168091787768,1.4185505906662499,4.855324152743981,4.21622870814698,0.7065564633433477,2.8902883321325157
