Code département,Nom Departement,Projets de recrutement totaux,Projets de recrutement difficiles,Projets de recrutement saisonniers
01,AIN,10968.0,3989.0,3394.0
02,AISNE,8858.171,2396.0,2872.075
03,ALLIER,6624.0,2246.0,2808.0
04,ALPES-DE-HAUTE-PROVENCE,5060.0,1570.0,1967.0
05,HAUTES-ALPES,5809.041,1857.0,2612.0
06,ALPES-MARITIMES,23995.322,7090.0,7154.014
07,ARDÈCHE,5925.0,2074.0,2881.0
08,ARDENNES,4433.0,1401.0,1569.0
09,ARIÈGE,3958.0,1111.0,2015.0
10,AUBE,6548.894,2105.0,2754.858
11,AUDE,8635.0,2653.0,3897.0
12,AVEYRON,7212.0,2714.0,3106.0
13,BOUCHES-DU-RHÔNE,38825.226,12489.138,10892.509
14,CALVADOS,13829.377,3827.0,4100.0
15,CANTAL,3218.0,1011.0,1907.0
16,CHARENTE,6695.0,2344.0,2401.0
17,CHARENTE-MARITIME,17977.0,5743.0,7672.0
18,CHER,4883.0,1856.0,1528.0
19,CORRÈZE,4971.495,1824.0,1769.49
21,CÔTE-D'OR,9989.283,3686.0,2626.273
22,CÔTES-D'ARMOR,14397.398,4795.0,5852.0
23,CREUSE,1416.0,631.0,593.0
24,DORDOGNE,9593.0,3425.0,4216.0
25,DOUBS,10708.0,3509.0,3230.0
26,DRÔME,15981.87,5764.0,5774.818
27,EURE,7299.0,2080.0,1943.0
28,EURE-ET-LOIR,7595.0,2675.0,2048.0
29,FINISTÈRE,22234.069,5644.0,9321.0
2A,CORSE-DU-SUD,6729.0,2215.0,3336.0
2B,HAUTE-CORSE,7040.0,1807.0,3689.0
30,GARD,14594.159,4063.0,5878.143
31,HAUTE-GARONNE,17762.53,6748.004,4476.0
32,GERS,5154.498,1559.0,2355.3940000000002
33,GIRONDE,26128.638,9047.0,9018.518
34,HÉRAULT,21885.092,6327.0,7434.555
35,ILLE-ET-VILAINE,19338.177,6858.0,5649.0
36,INDRE,3674.0,1100.0,1320.0
37,INDRE-ET-LOIRE,11970.0,4063.0,3672.0
38,ISÈRE,22366.586,7259.0,6783.0
39,JURA,6056.0,2205.0,2262.0
40,LANDES,10802.0,2644.0,4605.0
41,LOIR-ET-CHER,6952.0,2407.0,2419.0
42,LOIRE,13659.0,4331.0,3559.0
43,HAUTE-LOIRE,4312.0,1390.0,2139.0
44,LOIRE-ATLANTIQUE,26425.913,8708.0,7783.0
45,LOIRET,11185.0,4240.0,2909.0
46,LOT,5009.0,1950.0,2676.0
47,LOT-ET-GARONNE,8391.482,2673.0,3592.464
48,LOZÈRE,2364.0,709.0,1177.0
49,MAINE-ET-LOIRE,14974.627,5144.0,4609.627
50,MANCHE,9492.0,2275.0,2985.0
51,MARNE,11181.164,3554.0,4212.961
52,HAUTE-MARNE,3369.0,865.0,1475.0
53,MAYENNE,5059.0,2254.0,1123.0
54,MEURTHE-ET-MOSELLE,11858.0,3115.0,3078.0
55,MEUSE,3618.0,1160.0,1148.0
56,MORBIHAN,15982.0,5127.0,6401.0
57,MOSELLE,17162.051,5239.0,3993.0
58,NIÈVRE,4002.0,1441.0,1294.0
59,NORD,39926.369,10893.0,7717.0
60,OISE,14010.0,3959.0,4055.0
61,ORNE,4987.0,1382.0,1715.0
62,PAS-DE-CALAIS,23328.0,6095.0,6719.0
63,PUY-DE-DÔME,13832.349,4456.097,5136.0
64,PYRÉNÉES-ATLANTIQUES,14811.0,4632.0,5009.0
65,HAUTES-PYRÉNÉES,6678.0,1848.0,2875.0
66,PYRÉNÉES-ORIENTALES,11523.335,2958.0,5303.085
67,BAS-RHIN,18766.055,7705.0,4408.054
68,HAUT-RHIN,13331.311,5083.0,3719.294
69,RHÔNE,41613.064,14102.746,8927.477
70,HAUTE-SAÔNE,3735.0,1345.0,1448.0
71,SAÔNE-ET-LOIRE,9992.0,3839.0,3260.0
72,SARTHE,8827.0,3005.0,2610.0
73,SAVOIE,15799.052,5324.0,6973.492
74,HAUTE-SAVOIE,19531.0,7268.0,6508.0
75,PARIS,36013.516,12263.223,6718.0
76,SEINE-MARITIME,18253.0,4207.0,3772.0
77,SEINE-ET-MARNE,15993.0,5714.0,2950.0
78,YVELINES,18563.521,6770.0,3170.0
79,DEUX-SÈVRES,8868.0,2374.0,3257.0
80,SOMME,11237.0,3317.0,4051.0
81,TARN,7367.0,2430.0,2742.0
82,TARN-ET-GARONNE,5051.582,1797.0,2011.503
83,VAR,18788.126,6242.0,6921.082
84,VAUCLUSE,14514.592,4352.0,5438.351
85,VENDÉE,16492.0,5561.0,7254.0
86,VIENNE,7884.0,2320.0,2846.0
87,HAUTE-VIENNE,5999.119,2044.0,1614.093
88,VOSGES,6627.0,1536.0,2051.0
89,YONNE,5877.0,2253.0,1887.0
90,TERRITOIRE DE BELFORT,2967.0,1119.0,856.0
91,ESSONNE,16587.0,5320.0,2329.0
92,HAUTS-DE-SEINE,29124.875,8967.591,3425.0
93,SEINE-SAINT-DENIS,22118.0,6969.0,2983.0
94,VAL-DE-MARNE,17486.118,5855.0,2252.0
95,VAL-D'OISE,14504.073,5080.0,1892.0
971,GUADELOUPE,9868.0,3154.0,2622.0
972,MARTINIQUE,8054.0,2806.0,2422.0
973,GUYANE,5886.0,1823.0,614.0
974,LA REUNION,18403.0,4996.0,3284.0
976,MAYOTTE,2768.0,1052.0,263.0
