Dept,NomDept,met,xmet,smet
01,AIN,12860.0,5828.0,4139.25
02,AISNE,10410.0,3676.0,3667.5
03,ALLIER,6946.0,2510.0,2843.0
04,ALPES-DE-HAUTE-PROVENCE,5574.0,2011.0,3412.5
05,HAUTES-ALPES,6734.0,2242.0,4279.25
06,ALPES-MARITIMES,27614.0,10786.0,12256.25
07,ARDÈCHE,7026.0,2187.0,4355.25
08,ARDENNES,4677.0,1574.0,1585.75
09,ARIÈGE,4723.0,1475.0,2184.5
10,AUBE,7826.0,2587.0,4082.25
11,AUDE,10123.0,3252.0,6337.25
12,AVEYRON,7838.0,3167.0,3784.75
13,BOUCHES-DU-RHÔNE,45236.0,18722.0,17401.75
14,CALVADOS,15325.0,6123.0,7851.5
15,CANTAL,3900.0,1888.0,1804.0
16,CHARENTE,7306.0,3057.0,2766.0
17,CHARENTE-MARITIME,19464.0,7552.0,11949.5
18,CHER,5663.0,2388.0,2103.5
19,CORRÈZE,6090.0,2476.0,2552.0
21,CÔTE-D'OR,11888.0,5089.0,3851.5
22,CÔTES-D'ARMOR,16433.0,6994.0,8431.5
23,CREUSE,1885.0,806.0,587.0
24,DORDOGNE,9672.0,3653.0,4840.5
25,DOUBS,11617.0,4860.0,2920.0
26,DRÔME,17760.0,6722.0,8531.0
27,EURE,9379.0,3837.0,4373.75
28,EURE-ET-LOIR,8447.0,3613.0,2228.5
29,FINISTÈRE,26081.0,10133.0,13393.25
2A,CORSE-DU-SUD,8001.0,3433.0,5018.5
2B,HAUTE-CORSE,7582.0,3135.0,5199.0
30,GARD,17435.0,6417.0,8604.5
31,HAUTE-GARONNE,20767.0,9191.0,6568.75
32,GERS,5989.0,1977.0,3495.25
33,GIRONDE,28885.0,12396.0,11739.25
34,HÉRAULT,27487.0,9839.0,14133.0
35,ILLE-ET-VILAINE,24371.0,10563.0,9771.0
36,INDRE,3488.0,1620.0,1064.0
37,INDRE-ET-LOIRE,12980.0,5088.0,5498.75
38,ISÈRE,25654.0,10602.0,8684.25
39,JURA,7031.0,3173.0,3144.25
40,LANDES,10801.0,3723.0,7010.75
41,LOIR-ET-CHER,7350.0,3223.0,3415.0
42,LOIRE,15054.0,5976.0,4632.25
43,HAUTE-LOIRE,5372.0,1985.0,2081.0
44,LOIRE-ATLANTIQUE,31495.0,13351.0,13012.25
45,LOIRET,12958.0,5873.0,4120.25
46,LOT,5303.0,2088.0,3094.25
47,LOT-ET-GARONNE,9819.0,4017.0,5037.25
48,LOZÈRE,2668.0,1117.0,1693.25
49,MAINE-ET-LOIRE,18883.0,7977.0,7820.75
50,MANCHE,11209.0,4962.0,6140.25
51,MARNE,13034.0,5044.0,5311.5
52,HAUTE-MARNE,3331.0,1440.0,1418.0
53,MAYENNE,6825.0,2752.0,2255.75
54,MEURTHE-ET-MOSELLE,13759.0,5570.0,4715.75
55,MEUSE,3437.0,1529.0,1192.0
56,MORBIHAN,19497.0,7214.0,10417.75
57,MOSELLE,17659.0,6981.0,4428.5
58,NIÈVRE,4775.0,1843.0,1982.75
59,NORD,43963.0,17087.0,12547.0
60,OISE,14713.0,6011.0,4790.5
61,ORNE,6221.0,2448.0,2816.75
62,PAS-DE-CALAIS,26401.0,8961.0,9724.5
63,PUY-DE-DÔME,14194.0,5250.0,6252.25
64,PYRÉNÉES-ATLANTIQUES,14371.0,5514.0,6336.25
65,HAUTES-PYRÉNÉES,6623.0,2176.0,3736.75
66,PYRÉNÉES-ORIENTALES,11883.0,3696.0,7676.0
67,BAS-RHIN,22539.0,9349.0,6295.5
68,HAUT-RHIN,14443.0,5936.0,4598.75
69,RHÔNE,47538.0,19091.0,11926.25
70,HAUTE-SAÔNE,3912.0,1686.0,1221.75
71,SAÔNE-ET-LOIRE,10742.0,4512.0,3917.0
72,SARTHE,11767.0,4315.0,3918.25
73,SAVOIE,16882.0,6574.0,10503.0
74,HAUTE-SAVOIE,21645.0,10183.0,9818.25
75,PARIS,23443.0,10205.0,8075.75
76,SEINE-MARITIME,22073.0,8282.0,9343.0
77,SEINE-ET-MARNE,17929.0,7737.0,3606.0
78,YVELINES,26601.0,11181.0,4944.0
79,DEUX-SÈVRES,9606.0,3456.0,4266.75
80,SOMME,11413.0,4554.0,4330.0
81,TARN,7642.0,2719.0,3450.25
82,TARN-ET-GARONNE,5663.0,2377.0,2888.5
83,VAR,22565.0,9347.0,12036.75
84,VAUCLUSE,19590.0,7521.0,9965.0
85,VENDÉE,19837.0,8390.0,10803.25
86,VIENNE,8803.0,3623.0,3858.25
87,HAUTE-VIENNE,6345.0,2266.0,2417.0
88,VOSGES,8179.0,3028.0,3425.25
89,YONNE,7678.0,3043.0,2659.5
90,TERRITOIRE DE BELFORT,2884.0,1002.0,867.5
91,ESSONNE,12497.0,5081.0,2292.0
92,HAUTS-DE-SEINE,38860.0,14506.0,7551.25
93,SEINE-SAINT-DENIS,30837.0,11505.0,5357.0
94,VAL-DE-MARNE,22208.0,9273.0,3934.5
95,VAL-D'OISE,11931.0,4689.0,2024.0
971,GUADELOUPE,11792.0,3760.0,5434.0
972,GUYANE,9236.0,2796.0,3746.0
973,MARTINIQUE,5614.0,1672.0,506.0
974,RÉUNION,21661.0,5852.0,6199.5
976,MAYOTTE,3805.0,907.0,1177.75
