Département,Votants,Blancs,Exprimés,ARTHAUD,ROUSSEL,MACRON,LASSALLE,LE PEN,ZEMMOUR,MÉLENCHON,HIDALGO,JADOT,PÉCRESSE,POUTOU,DUPONT-AIGNAN,Abstention_rate,ARTHAUD_percent,ROUSSEL_percent,MACRON_percent,LASSALLE_percent,LE PEN_percent,ZEMMOUR_percent,MÉLENCHON_percent,HIDALGO_percent,JADOT_percent,PÉCRESSE_percent,POUTOU_percent,DUPONT-AIGNAN_percent,employment,security,Winner_2017
AIN,340568,5641,333024,1658,5938,92206,10876,86755,27530,57832,5644,15843,17572,2172,8998,22.2640941,0.378444634,1.355370467,21.04636061,2.482487235,19.80214969,6.283824345,13.20036794,1.28826388,3.61622336,4.010874006,0.495767035,2.053826787,12860,51630,MACRON
AISNE,272455,3767,265860,2038,5968,58721,6468,104342,18266,41172,2983,7074,10920,2118,5790,27.06213994,0.545584991,1.597669886,15.71996873,1.731522926,27.93298781,4.88991926,11.02199473,0.798567237,1.893752811,2.923350395,0.567001478,1.550018204,10410,56480,LE PEN
ALLIER,191494,3749,185955,1359,8119,49706,7782,50315,12361,31013,3280,5982,10319,1503,4216,23.39964239,0.54361957,3.247716918,19.88311579,3.112912065,20.12672456,4.944578005,12.4056466,1.312047234,2.392886144,4.127748599,0.601221644,1.686460713,6946,45167,LE PEN
ALPES-MARITIMES,570332,7550,558775,1627,8858,139707,12767,148919,78208,92345,5414,23374,31260,2989,13307,26.74734325,0.20896964,1.137709323,17.94377471,1.6397759,19.1269513,10.04492783,11.86066464,0.695366705,3.002124375,4.014991356,0.383903044,1.709132757,27614,54266,LE PEN
ALPES-DE-HAUTE-PROVENCE,98785,1478,96683,505,2721,20800,4309,26010,7926,21856,1396,3957,3834,865,2504,22.86941245,0.394300215,2.124536404,16.24048409,3.364434901,20.30841304,6.18856139,17.06500098,1.089986336,3.08959594,2.993558462,0.675385516,1.955104431,5574,54266,LE PEN
ARDENNES,136829,1909,133936,1081,3009,31656,4084,48242,8771,22281,1741,3446,5556,1112,2957,26.51385361,0.580567893,1.616030333,17.00134803,2.193375833,25.90911776,4.710602212,11.96635821,0.935031177,1.850727992,2.983936368,0.597216926,1.588102923,4677,42706,LE PEN
ARDÃ?CHE,201745,3311,196975,1219,5710,45353,9033,49594,14199,42837,4189,8544,9553,1817,4927,21.14993024,0.476434286,2.231697927,17.72577865,3.530460136,19.38333223,5.549540958,16.74242454,1.637229881,3.339339245,3.733697075,0.710156766,1.925669998,7026,39995,LE PEN
ARIÃ?GE,94011,1532,91704,417,2701,18071,7532,21958,5821,23908,3208,3020,2724,723,1621,21.02504221,0.350305362,2.269004276,15.18073909,6.327338099,18.44605549,4.889994036,20.08417409,2.694915112,2.536983678,2.288325675,0.607363973,1.36173859,4723,38062,MÃ?LENCHON
AUBE,153167,2339,149670,1005,3094,38321,3787,49316,11374,22483,1720,4619,8923,1062,3966,25.4846729,0.488929755,1.505222548,18.64306182,1.842365155,23.99209928,5.53341993,10.93791808,0.836775302,2.247130882,4.341015125,0.516660099,1.929448166,7826,51586,LE PEN
AUDE,216955,2962,212426,1026,5622,43104,12382,64027,18434,42039,6166,6322,7350,1748,4206,22.49586499,0.36652413,2.008380756,15.39830027,4.423296074,22.87274897,6.585288307,15.01784394,2.202717137,2.258445952,2.625684553,0.624448517,1.502534589,10123,63733,LE PEN
AVEYRON,175635,3079,170902,894,4515,47430,14825,34357,10112,32734,4470,6746,9988,1354,3477,19.97238777,0.40734868,2.057247526,21.61135109,6.754971112,15.65467403,4.607505422,14.91515847,2.036743398,3.073796636,4.551005158,0.616946434,1.584285636,7838,28909,MACRON
BAS-RHIN,588488,8335,576719,3687,7015,177069,14652,145883,40458,105055,8348,28573,24812,4158,17009,24.42802987,0.473474147,0.900846526,22.73870186,1.881568539,18.73388364,5.195502317,13.49086697,1.072026629,3.669264118,3.1862871,0.533958639,2.184247835,22539,54266,MACRON
"BOUCHES-DU-RHÃ""NE",1027368,13341,1008620,3578,24295,229038,24256,264753,108617,237971,11760,42109,36229,5963,20051,27.19815417,0.253545959,1.721603986,16.23020102,1.71884035,18.76105455,7.696870146,16.86321557,0.833342782,2.983948231,2.56727684,0.422552977,1.420863615,45236,54266,LE PEN
CALVADOS,394349,5547,386231,2757,8777,120366,9816,91774,22255,73950,6848,19621,18383,3764,7920,23.00096847,0.538320954,1.713762428,23.50219077,1.916633473,17.91942954,4.345423588,14.43918555,1.337113491,3.83111913,3.589392129,0.734943805,1.546427986,15325,57749,MACRON
CANTAL,90726,1803,88102,555,2496,25038,6848,21570,4906,12944,1810,2751,6987,650,1547,21.61562055,0.479502354,2.156464642,21.63203594,5.916454274,18.6357942,4.238628018,11.18320446,1.563782453,2.376776535,6.036545855,0.561579334,1.336558815,3900,23272,MACRON
CHARENTE,197699,3293,192666,1319,5374,53126,8482,50432,10617,37305,4003,7557,8343,1763,4345,23.25587715,0.51201826,2.086115338,20.62280675,3.292599609,19.57703177,4.121378218,14.48130493,1.553911369,2.933526909,3.238641657,0.684373156,1.686671221,7306,47576,MACRON
CHARENTE-MARITIME,402765,5918,394067,2330,10002,113753,14335,99790,24347,71633,6857,19012,19316,3403,9289,22.42614628,0.448765606,1.926417849,21.90919912,2.760967793,19.21987974,4.689311674,13.79674963,1.320680583,3.66177326,3.720324652,0.655428908,1.789091722,19464,54266,MACRON
CHER,164762,3146,160533,1304,5749,43497,5495,44772,10822,27901,2585,5028,8147,1463,3770,26.63223048,0.580665271,2.560003562,19.36901634,2.446898517,19.93676805,4.818987398,12.42418845,1.151088747,2.23894554,3.62782206,0.651467249,1.67876386,5663,93892,LE PEN
CORRÃ?ZE,146602,2517,142600,885,6292,33125,10177,31658,8012,27731,3605,5040,12278,1179,2618,20.76938043,0.478295646,3.400492888,17.90230879,5.500129707,17.10947296,4.330061827,14.98713736,1.948311643,2.723853171,6.635608976,0.637187081,1.414890397,6090,34958,MACRON
CORSE-DU-SUD,71552,1130,68861,197,1850,12932,6729,20139,9199,9330,624,2266,3772,608,1215,37.18990853,0.172931407,1.62397514,11.35202514,5.906880388,17.67850559,8.075106656,8.190101652,0.547762426,1.98915009,3.311153637,0.533717235,1.066556646,8001,54266,LE PEN
CREUSE,68979,1388,66848,490,2430,15542,4275,16772,3501,13679,1641,1906,4391,665,1556,24.15389352,0.538781255,2.671915202,17.08926176,4.70059156,18.44171266,3.849537088,15.04079344,1.804367427,2.095749126,4.828139775,0.731203132,1.710905372,1885,25202,LE PEN
